datetime,open,high,low,close,volume,target
2025-06-02 22:56:00,105673.01,105679.27,105659.68,105659.68,5.95292,1
2025-06-02 22:57:00,105659.69,105667.11,105644.28,105667.1,2.14718,1
2025-06-02 22:58:00,105667.1,105667.11,105651.69,105655.36,1.90547,1
2025-06-02 22:59:00,105655.36,105695.5,105655.36,105695.49,2.22511,1
2025-06-02 23:00:00,105695.5,105750.0,105676.32,105707.4,14.91549,0
2025-06-02 23:01:00,105707.39,105707.4,105643.17,105679.04,10.76499,0
2025-06-02 23:02:00,105679.04,105777.28,105679.04,105772.41,15.03081,0
2025-06-02 23:03:00,105772.42,105781.03,105735.99,105739.21,4.68943,1
2025-06-02 23:04:00,105739.22,105785.12,105713.49,105765.48,15.83627,0
2025-06-02 23:05:00,105765.48,105765.49,105666.47,105666.48,10.11454,1
2025-06-02 23:06:00,105666.47,105666.48,105575.47,105622.57,12.37831,1
2025-06-02 23:07:00,105622.57,105702.0,105607.78,105701.99,4.78011,1
2025-06-02 23:08:00,105701.99,105789.37,105701.99,105789.36,8.6703,0
2025-06-02 23:09:00,105789.36,105789.37,105753.91,105753.92,11.00762,0
2025-06-02 23:10:00,105753.91,105777.8,105751.87,105754.93,4.10018,1
2025-06-02 23:11:00,105754.92,105754.92,105716.98,105719.7,2.87487,1
2025-06-02 23:12:00,105719.71,105727.76,105719.7,105727.76,2.40539,1
2025-06-02 23:13:00,105727.76,105764.16,105720.0,105764.16,8.85288,0
2025-06-02 23:14:00,105764.16,105764.16,105750.83,105750.84,13.27419,1
2025-06-02 23:15:00,105750.83,105759.76,105727.34,105759.75,3.9095,1
2025-06-02 23:16:00,105759.75,105773.69,105744.64,105744.65,10.28493,1
2025-06-02 23:17:00,105744.64,105745.49,105683.19,105745.49,8.14049,1
2025-06-02 23:18:00,105745.48,105772.0,105716.98,105740.75,6.00797,1
2025-06-02 23:19:00,105742.0,105774.07,105733.78,105770.43,3.80422,1
2025-06-02 23:20:00,105770.44,105850.0,105770.43,105847.39,17.17133,1
2025-06-02 23:21:00,105847.39,105899.0,105847.38,105899.0,16.0523,0
2025-06-02 23:22:00,105899.0,105900.0,105892.38,105900.0,21.13142,0
2025-06-02 23:23:00,105899.99,105899.99,105865.79,105874.47,14.08592,0
2025-06-02 23:24:00,105874.47,105909.0,105874.31,105908.99,16.93004,0
2025-06-02 23:25:00,105908.99,105915.89,105849.98,105858.08,14.64927,0
2025-06-02 23:26:00,105858.07,105909.0,105815.29,105838.75,23.05504,0
2025-06-02 23:27:00,105838.75,105838.75,105786.42,105786.42,4.76753,1
2025-06-02 23:28:00,105786.42,105869.05,105786.42,105861.91,32.42245,0
2025-06-02 23:29:00,105861.9,105886.56,105858.49,105860.2,15.36175,0
2025-06-02 23:30:00,105860.2,105869.23,105802.44,105802.45,21.61687,1
2025-06-02 23:31:00,105802.45,105802.45,105768.87,105796.42,7.20343,0
2025-06-02 23:32:00,105796.41,105836.08,105795.73,105795.73,5.16113,1
2025-06-02 23:33:00,105795.73,105795.74,105725.6,105769.79,14.85061,1
2025-06-02 23:34:00,105769.79,105795.85,105769.78,105795.85,0.76895,1
2025-06-02 23:35:00,105795.85,105821.99,105795.84,105809.53,3.80476,1
2025-06-02 23:36:00,105809.52,105809.53,105786.25,105786.25,2.3823,1
2025-06-02 23:37:00,105786.26,105834.04,105786.26,105834.04,4.90794,0
2025-06-02 23:38:00,105834.03,105834.04,105804.78,105822.12,5.78405,1
2025-06-02 23:39:00,105822.11,105837.97,105809.52,105837.97,2.54839,1
2025-06-02 23:40:00,105837.96,105890.14,105837.96,105868.78,8.04739,1
2025-06-02 23:41:00,105868.77,105868.78,105795.56,105824.5,9.54037,1
2025-06-02 23:42:00,105824.5,105839.97,105821.42,105821.42,2.41272,1
